sounds,instrument,technique
n_Ob-ord-C4-ff.wav,oboe,ordinario
n_Bn-mul-D#3+_D3_D4_A5+-mf.wav,bassoon,multiphonic
n_EH-L_pA_sus_mf_C5.wav,english_horn,ordinario
n_PFL-L_LV_nA_sus_f_C8.wav,piccolo_flute,ordinario
n_Vc-pizz_bartok-C3-ff-3c.wav,cello,pizzicato_bartok
n_BKL-L_pA_sus_mf_C4.wav,bass_clarinet,ordinario
n_Vc-nonvib-C3-pp.wav,cello,non_vibrato
n_Hn-ord-C3-ff.wav,french_horn,ordinario
n_Va-pont-C4-mf.wav,alto,sul_ponticello
n_Fl-flatt-C4-mf.wav,flute,flatterzunge
n_Vn-nonvib-C6-pp.wav,violin,non_vibrato
n_Cb-pizz_lv-C3-ff.wav,doublebass,pizzicato
n_Ob-ord-C6-pp.wav,oboe,ordinario
n_Hn-flatt-C3-pp.wav,french_horn,flatterzunge
n_Fl-mul-A#5_G#4_C#6_C5-mf.wav,flute,multiphonic
n_TpC-ord-C6-mf.wav,trumpet,ordinario
n_Hp-ord-C6-ff.wav,harpa,ordinario
n_BTb-flatt-C3-mf.wav,bass_tuba,flatterzunge
n_Vc-ord-C6-mf.wav,cello,ordinario
n_Cb-pont-C3-mf-2c.wav,doublebass,sul_ponticello
n_Va-ord-C5-pp.wav,alto,ordinario
n_MA_ES_A-Ha_f_C2.wav,marimba,hard_stick
n_MA_ES_A-So_f_C4.wav,marimba,soft_stick
n_TpC+C-ord-C6-mf.wav,trumpet,ordinario
n_Hp-harm_fingering-C4-p.wav,harpa,harmonic
n_Ob-mul-C5+_A#5_B4-f.wav,oboe,multiphonic
n_MA_ES_A-Ha_p_C5.wav,marimba,hard_stick
n_BKL-L_pA_sus_mf_C2.wav,bass_clarinet,ordinario
n_BTb-play+sing_min2nd-C3-mf.wav,bass_tuba,sing_play
n_Acc-ord-C8-pp.wav,accordion,ordinario
n_BTb-ord-C1-pp.wav,bass_tuba,ordinario
n_Bn-ord-C4-mf.wav,bassoon,ordinario
n_Cb-ord-C4-pp.wav,doublebass,ordinario
n_AFL-L_oV_pA_sus_p_C5.wav,alto_flute,ordinario
