ID;age;term;frequency
CN1;30;Brillant;7
CN2;30;Brillant;7
CN3;60;Brillant;4
CN4;42;Brillant;3
CN5;32;Brillant;5
CN6;39;Brillant;4
CN7;37;Brillant;5
CN8;31;Brillant;5
SE2;33;Brillant;2
SE3;26;Brillant;6
SE4;26;Brillant;7
SE5;28;Brillant;7
SE6;26;Brillant;6
SE7;24;Brillant;5
SE8;28;Brillant;5
SE9;30;Brillant;7
CN1;30;Chaud;6
CN2;30;Chaud;7
CN3;60;Chaud;2
CN4;42;Chaud;4
CN5;32;Chaud;3
CN6;39;Chaud;6
CN7;37;Chaud;5
CN8;31;Chaud;1
SE2;33;Chaud;5
SE3;26;Chaud;3
SE4;26;Chaud;5
SE5;28;Chaud;4
SE6;26;Chaud;6
SE7;24;Chaud;4
SE8;28;Chaud;5
SE9;30;Chaud;3
CN1;30;Rond;7
CN2;30;Rond;6
CN3;60;Rond;6
CN4;42;Rond;4
CN5;32;Rond;5
CN7;37;Rond;6
CN8;31;Rond;7
SE2;33;Rond;5
SE3;26;Rond;6
SE4;26;Rond;7
SE5;28;Rond;5
SE6;26;Rond;4
SE7;24;Rond;5
SE8;28;Rond;2
SE9;30;Rond;5
CN1;30;Rugueux;6
CN2;30;Rugueux;3
CN3;60;Rugueux;5
CN4;42;Rugueux;1
CN5;32;Rugueux;3
CN7;37;Rugueux;5
CN8;31;Rugueux;2
SE2;33;Rugueux;2
SE3;26;Rugueux;2
SE4;26;Rugueux;4
SE5;28;Rugueux;3
SE6;26;Rugueux;5
SE7;24;Rugueux;2
SE8;28;Rugueux;3
SE9;30;Rugueux;3
CN6;39;Rond;6
CN6;39;Rugueux;2
NE1;34;Brillant;4
NE1;34;Rond;1
NE1;34;Rugueux;1
NE1;34;Chaud;2
NE2;30;Rond;1
NE2;30;Brillant;5
NE3;65;Rond;1
NE3;65;Chaud;3
NE4;25;Rugueux;1
NE4;25;Chaud;5
NE3;65;Rugueux;1
NE3;65;Brillant;1
NE5;32;Brillant;1
NE5;32;Rugueux;1
NE6;25;Chaud;4
NE6;25;Brillant;3
NE6;25;Rugueux;2
NE6;25;Rond;2
NE7;29;Brillant;1
NE7;29;Rond;6
NE4;25;Brillant;3
NE4;25;Rond;2
NE5;32;Rond;1
NE5;32;Chaud;1
NE7;29;Chaud;1
NE7;29;Rugueux;1
NE8;26;Rugueux;2
NE8;26;Rond;2
NE8;26;Chaud;1
NE8;26;Brillant;3
NE9;37;Chaud;7
NE9;37;Rugueux;1
NE9;37;Rond;3
NE9;37;Brillant;3
