sounds,Value,Elo,RW,Best,Worst,Unchosen,BestWorst,ABW,David,ValueLogit,RWLogit,BestWorstLogit
n_Vc-pont-C4-mf-2c.wav,0.5074503083938987,-1.4212084398647633,0.5138467835885508,2,2,4,0.5,0.0,1400,0.02980343944267204,0.0554013002926537,0.5
n_PFL_FLatter_f_C6.wav,0.48347478258821336,-96.53275519185416,0.4774532344861542,2,2,4,0.5,0.0,-4100,-0.06612495344862515,-0.09024826633392967,0.5
n_Cb-pizz_lv-C3-pp.wav,0.5026340338817309,12.071869160427681,0.5081444744364337,1,1,6,0.5,0.0,200,0.010536232996713626,0.03258077950081747,0.5
n_Tbn-flatt-C5-ff.wav,0.495971293113195,-54.419448945342445,0.5029688603789614,2,2,4,0.5,0.0,-1600,-0.016115176295969036,0.011875581081075833,0.5
n_Cb-pizz_lv-C2-mf.wav,0.501395384072297,4.849984653194131,0.5049903054572068,1,1,6,0.5,0.0,600,0.005581550779643598,0.019961884664807174,0.5
n_MA_ES_A-So_f_C3.wav,0.49566258402911445,0.2929623805912769,0.49320097987928957,2,2,4,0.5,0.0,-900,-0.017350099106263766,-0.027197756914653003,0.5
n_MA_ES_A-Ha_f_C7.wav,0.5216736251804766,13.672582844096855,0.5172722487017186,2,1,5,19.25,0.25131442828090617,100,0.08674886121712193,0.06911649631320695,19.25
n_Vn-pizz_lv-C6-ff.wav,0.5657871451307055,83.68109425064037,0.5746744353475245,3,1,4,38.0,0.5108256237659907,5400,0.264683075920769,0.3009487709041602,38.0
n_TpC-brassy-C5-ff.wav,0.6120861006418357,216.773838933923,0.631076320906963,3,0,5,56.75,0.7884573603642703,8800,0.4560895538129073,0.536837016614338,56.75
n_Fl-ord-C5-ff.wav,0.46558816708694367,-52.83799280253389,0.46276680112939017,2,3,3,-18.25,-0.25131442828090605,-3600,-0.13786528264230946,-0.14920900463786524,-18.25
n_Ob-mul-C6+_D#5+_A#4-f.wav,0.39697569553251927,-195.96980255322484,0.38950169773885684,1,4,3,-55.75,-0.7884573603642702,-8600,-0.4180824433391042,-0.4494072885818448,-55.75
n_TpC-ord-C6-pp.wav,0.5482047459384948,155.73004335492993,0.5658148786349041,2,1,5,19.25,0.25131442828090617,5000,0.19341974167652437,0.26479596507532244,19.25
n_TpC-ord-C5-pp.wav,0.5016113619491451,11.556744199492238,0.5096666691417527,1,1,6,0.5,0.0,200,0.006445470110750921,0.038671495231670884,0.5
n_Fl-flatt-C4-pp.wav,0.4980905239265651,-0.8575958983346652,0.4995657258906092,1,1,6,0.5,0.0,-1000,-0.007637941425470004,-0.0017370968743713263,0.5
n_MA_ES_A-Ha_p_C5.wav,0.5121618882384721,68.55577856676688,0.5274331424423087,1,1,6,0.5,0.0,2100,0.04865715040612328,0.10984287873173253,0.5
n_Cb-pizz_lv-C4-pp.wav,0.5421791785439041,100.26600825719832,0.555291639078973,1,0,7,19.25,0.25131442828090617,3300,0.16911864648726088,0.22207475294883844,19.25
n_Cb-pizz_bartok-C3-ff.wav,0.5672184995717275,117.72477541994292,0.5756255711765162,3,1,4,38.0,0.5108256237659907,4900,0.2705116076006058,0.30484124689297504,38.0
n_Hp-ord-C2-ff.wav,0.62143289528618,314.26806113032075,0.6474717784739872,4,1,3,56.75,0.7884573603642703,12300,0.4956345845859294,0.6079445271411532,56.75
n_Xyl_HO_p_C7.wav,0.6860516660832883,357.38103099655467,0.7269609301457951,5,0,3,94.25,1.466337068793427,15100,0.7817245091768048,0.9792578369225925,94.25
n_Hn-ord-C3-pp.wav,0.3409641232657845,-370.0975579448031,0.3118817133426062,0,4,4,-74.5,-1.0986122886681098,-14400,-0.6590007128112241,-0.7913367594145232,-74.5
n_Va-nonvib-C5-pp.wav,0.4991299337410567,-10.168141616843938,0.4997632243239117,1,1,6,0.5,0.0,-100,-0.003480268548598224,-0.0009471027751496047,0.5
n_Cb-nonvib-C5-pp.wav,0.531306277397182,8.736139307057389,0.5326999801659817,2,1,5,19.25,0.25131442828090617,2600,0.125389136922425,0.13098688453970955,19.25
n_Fl-ord-C7-mf.wav,0.5001474332353263,-5.800766237726682,0.5024609110421279,2,2,4,0.5,0.0,100,0.0005897329583968011,0.00984372365490358,0.5
n_Xyl_HO_f_C8.wav,0.4959244594229926,-32.39081191554189,0.494983849765217,1,1,6,0.5,0.0,-1000,-0.016302523361651076,-0.020065274127434595,0.5
n_Hn-ord-C5-pp.wav,0.3631794722300715,-271.1070803149097,0.34253802739187517,1,5,2,-74.5,-1.0986122886681098,-12200,-0.5615907438906849,-0.6520042456214642,-74.5
n_Va-nonvib-C5-ff.wav,0.5318493100279762,39.44849707656298,0.5395330450567035,2,1,5,19.25,0.25131442828090617,1600,0.12756996618052852,0.15846294004622502,19.25
n_Bn-mul-C#3_C3_C2_C#4-mf.wav,0.35376859384632314,-314.2804869426144,0.3324744809548421,0,4,4,-74.5,-1.0986122886681098,-11300,-0.60251464381366,-0.6970145121803304,-74.5
n_Tbn-pedal_tone-C1-f.wav,0.36165654461560964,-278.89119532512797,0.3499653193360248,1,5,2,-74.5,-1.0986122886681098,-12500,-0.5681814801431062,-0.6191916543714165,-74.5
n_Ob-flatt-C6-mf.wav,0.5662045521089336,77.79254457134512,0.5706627988537585,2,0,6,38.0,0.5108256237659907,4100,0.2663823076281573,0.28455586346446676,38.0
